Unique_ID,Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date,Date
H6360-12,H6360,12.0,1876 Cost,1876 Cost,No,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Only Basic (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-11,H6360,11.0,1876 Cost,1876 Cost,No,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus Basic IV (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-10,H6360,10.0,1876 Cost,1876 Cost,Yes,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus IV (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-9,H6360,9.0,1876 Cost,1876 Cost,Yes,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus I - B only (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-8,H6360,8.0,1876 Cost,1876 Cost,No,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus Basic III (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-7,H6360,7.0,1876 Cost,1876 Cost,No,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus Basic II (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-6,H6360,6.0,1876 Cost,1876 Cost,Yes,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus III (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-4,H6360,4.0,1876 Cost,1876 Cost,No,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus Basic I (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-2,H6360,2.0,1876 Cost,1876 Cost,Yes,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus II (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-1,H6360,1.0,1876 Cost,1876 Cost,Yes,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus I (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-806,H6360,806.0,1876 Cost,1876 Cost,Yes,No,Yes,HEALTHSPAN INTEGRATED CARE,HealthSpan,FEHB AB with D (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-807,H6360,807.0,1876 Cost,1876 Cost,Yes,No,Yes,HEALTHSPAN INTEGRATED CARE,HealthSpan,FEHB B only with D (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6361-1,H6361,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"TODAY'S OPTIONS OF NEW YORK, INC.","Today's Options of New York, Inc.",Today's Options Classic (HMO),Universal American Corp.,01/01/2016 0:00:00,2016-12-01
H6528-30,H6528,30.0,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,Care Improvement Plus Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2009 0:00:00,2016-12-01
H6528-29,H6528,29.0,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,Care Improvement Plus Gold Rx (PPO SNP),"UnitedHealth Group, Inc.",01/01/2009 0:00:00,2016-12-01
H6528-16,H6528,16.0,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,Care Improvement Plus Gold Rx (PPO SNP),"UnitedHealth Group, Inc.",01/01/2009 0:00:00,2016-12-01
H6609-110,H6609,110.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-110 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6623-1,H6623,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Maricopa Care Advantage,Maricopa Care Advantage (HMO SNP),MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,01/01/2014 0:00:00,2016-12-01
H6622-9,H6622,9.0,Local CCP,HMO/HMOPOS,Yes,No,No,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP,Humana WI Health Organization Insurance Corp,Humana Gold Plus H6622-009 (HMO),Humana Inc.,01/01/2011 0:00:00,2016-12-01
H6745-3,H6745,3.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,AMIDA CARE INC.,Amida Care,Amida Care Live Life Advantage (HMO SNP),Amida Care Inc.,01/01/2014 0:00:00,2016-12-01
H6745-2,H6745,2.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,AMIDA CARE INC.,Amida Care,Amida Care True Life Advantage (HMO SNP),Amida Care Inc.,01/01/2014 0:00:00,2016-12-01
H6745-1,H6745,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,AMIDA CARE INC.,Amida Care,Amida Care True Life Plus (HMO),Amida Care Inc.,01/01/2014 0:00:00,2016-12-01
H6609-125,H6609,125.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-125 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-816,H6609,816.0,Local CCP,Local PPO,No,No,Yes,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Medicare Employer (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-146,H6609,146.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-146 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-142,H6609,142.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-142 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-145,H6609,145.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-145 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-801,H8953,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Medicare Employer (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H9190-15,H9190,15.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,Gateway Health Medicare Assured Gold (HMO SNP),"Gateway Health Plan, LP",01/01/2014 0:00:00,2016-12-01
H9190-10,H9190,10.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,Gateway Health Medicare Assured Platinum (HMO SNP),"Gateway Health Plan, LP",01/01/2014 0:00:00,2016-12-01
H9190-9,H9190,9.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,Gateway Health Medicare Assured Gold (HMO SNP),"Gateway Health Plan, LP",01/01/2014 0:00:00,2016-12-01
H9190-4,H9190,4.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,Gateway Health Medicare Assured Platinum (HMO SNP),"Gateway Health Plan, LP",01/01/2014 0:00:00,2016-12-01
H9190-3,H9190,3.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,Gateway Health Medicare Assured Gold (HMO SNP),"Gateway Health Plan, LP",01/01/2014 0:00:00,2016-12-01
H9190-16,H9190,16.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,Gateway Health Medicare Assured Platinum (HMO SNP),"Gateway Health Plan, LP",01/01/2014 0:00:00,2016-12-01
H9285-3,H9285,3.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ATLANTIS HEALTH PLAN, INC.",EASY CHOICE HEALTH PLAN OF NEW YORK,Easy Choice Diamond Rewards (HMO SNP),"America's 1st Choice NY Holdings, LLC",01/01/2012 0:00:00,2016-12-01
H9285-1,H9285,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"ATLANTIS HEALTH PLAN, INC.",EASY CHOICE HEALTH PLAN OF NEW YORK,Easy Choice Rewards (HMO),"America's 1st Choice NY Holdings, LLC",01/01/2012 0:00:00,2016-12-01
H9207-6,H9207,6.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTH PARTNERS PLANS, INC.",Health Partners Medicare,Health Partners Medicare PrimePlus (HMO),"Health Partners Plans, Inc.",01/01/2014 0:00:00,2016-12-01
H9207-3,H9207,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTH PARTNERS PLANS, INC.",Health Partners Medicare,Health Partners Medicare PrimePlus (HMO),"Health Partners Plans, Inc.",01/01/2014 0:00:00,2016-12-01
H9122-3,H9122,3.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ALPHACARE OF NEW YORK, INC.","AlphaCare of New York, Inc.",AlphaCare Total (HMO SNP),"Magellan Health, Inc.",01/01/2014 0:00:00,2016-12-01
H9122-2,H9122,2.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ALPHACARE OF NEW YORK, INC.","AlphaCare of New York, Inc.",AlphaCare Resilience (HMO SNP),"Magellan Health, Inc.",01/01/2014 0:00:00,2016-12-01
H9122-1,H9122,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"ALPHACARE OF NEW YORK, INC.","AlphaCare of New York, Inc.",AlphaCare Renew (HMO),"Magellan Health, Inc.",01/01/2014 0:00:00,2016-12-01
H9110-2,H9110,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,REGENCE BLUECROSS BLUESHIELD OF UTAH,Regence BlueCross BlueShield of Utah,Regence BlueAdvantage HMO (HMO),"Cambia Health Solutions, Inc.",01/01/2014 0:00:00,2016-12-01
H9725-806,H9725,806.0,Local CCP,HMO/HMOPOS,No,No,Yes,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Premier FY (HMO-POS),CIGNA,01/01/2014 0:00:00,2016-12-01
H9725-805,H9725,805.0,Local CCP,HMO/HMOPOS,No,No,Yes,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Preferred FY (HMO),CIGNA,01/01/2014 0:00:00,2016-12-01
H9725-804,H9725,804.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Premier Rx FY (HMO-POS),CIGNA,01/01/2014 0:00:00,2016-12-01
H9725-803,H9725,803.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Preferred Rx FY (HMO),CIGNA,01/01/2014 0:00:00,2016-12-01
H9725-802,H9725,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Premier Rx CY (HMO-POS),CIGNA,01/01/2014 0:00:00,2016-12-01
H9689-1,H9689,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HEALTH ALLIANCE CONNECT, INC.",Health Alliance Medicare,Health Alliance Medicare (HMO SNP),The Carle Foundation,01/01/2015 0:00:00,2016-12-01
H9859-802,H9859,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,Preferred Gold Rx - Employer Group (HMO-POS),"MVP Health Care, Inc.",01/01/2007 0:00:00,2016-12-01
H9859-13,H9859,13.0,Local CCP,HMO/HMOPOS,Yes,No,No,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,GoldValue with Part D (HMO-POS),"MVP Health Care, Inc.",01/01/2007 0:00:00,2016-12-01
H9859-2,H9859,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,Preferred Gold with Part D (HMO-POS),"MVP Health Care, Inc.",01/01/2007 0:00:00,2016-12-01
H9859-1,H9859,1.0,Local CCP,HMO/HMOPOS,No,No,No,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,Preferred Gold without Part D (HMO-POS),"MVP Health Care, Inc.",01/01/2007 0:00:00,2016-12-01
H9492-1,H9492,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,STABLEVIEW HEALTH,StableView Health,Classic Plus Rx (HMO-POS),Catholic Health Initiatives,01/01/2015 0:00:00,2016-12-01
H9412-3,H9412,3.0,Local CCP,Local PPO,Yes,No,No,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Gold,Geisinger Gold Preferred Rx (PPO),Geisinger Health System,01/01/2013 0:00:00,2016-12-01
H8146-7,H8146,7.0,Local CCP,HMO/HMOPOS,Yes,No,No,"SECURITYCARE OF TENNESSEE, INC.",BlueChoice Tennessee,BlueChoice (HMO),BlueCross BlueShield of Tennessee,01/01/2014 0:00:00,2016-12-01
H8146-6,H8146,6.0,Local CCP,HMO/HMOPOS,Yes,No,No,"SECURITYCARE OF TENNESSEE, INC.",BlueChoice Tennessee,BlueChoice (HMO),BlueCross BlueShield of Tennessee,01/01/2014 0:00:00,2016-12-01
H8146-4,H8146,4.0,Local CCP,HMO/HMOPOS,Yes,No,No,"SECURITYCARE OF TENNESSEE, INC.",BlueChoice Tennessee,BlueChoice (HMO),BlueCross BlueShield of Tennessee,01/01/2014 0:00:00,2016-12-01
H8146-2,H8146,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,"SECURITYCARE OF TENNESSEE, INC.",BlueChoice Tennessee,BlueChoice (HMO),BlueCross BlueShield of Tennessee,01/01/2014 0:00:00,2016-12-01
H8146-1,H8146,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"SECURITYCARE OF TENNESSEE, INC.",BlueChoice Tennessee,BlueChoice (HMO),BlueCross BlueShield of Tennessee,01/01/2014 0:00:00,2016-12-01
H8420-1,H8420,1.0,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"CENTERLIGHT HEALTHCARE, INC.",CenterLight Healthcare FIDA Plan,CenterLight Healthcare FIDA Plan (Medicare-Medicaid Plan),"CenterLight Health System, Inc.",01/01/2015 0:00:00,2016-12-01
H8145-20,H8145,20.0,PFFS,PFFS,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Gold Choice H8145-020 (PFFS),Humana Inc.,01/01/2011 0:00:00,2016-12-01
H8145-97,H8145,97.0,PFFS,PFFS,No,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Gold Choice H8145-097 (PFFS),Humana Inc.,01/01/2011 0:00:00,2016-12-01
H8953-802,H8953,802.0,Local CCP,HMO/HMOPOS,No,No,Yes,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Medicare Employer (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-18,H8953,18.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus H8953-018 (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-17,H8953,17.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus H8953-017 (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-16,H8953,16.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus H8953-016 (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-14,H8953,14.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus SNP-DE H8953-014 (HMO SNP),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-11,H8953,11.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus - Diabetes and Heart (HMO SNP),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-10,H8953,10.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus H8953-010 (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-7,H8953,7.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus SNP-DE H8953-007 (HMO SNP),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-5,H8953,5.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus H8953-005 (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H8953-3,H8953,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Gold Plus H8953-003 (HMO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
